Game Number,Player 1 Score,Player 2 Score,Player 2 Win
520,34,30,0
521,35,29,0
522,19,45,1
523,41,23,0
524,29,35,1
525,30,34,1
526,25,38,1
527,31,33,1
528,39,25,0
529,41,23,0
530,40,24,0
531,39,25,0
532,21,43,1
533,48,16,0
534,54,10,0
535,33,31,0
536,35,29,0
537,23,40,1
538,36,28,0
539,37,27,0
540,19,45,1
541,29,35,1
542,34,30,0
543,36,28,0
544,27,37,1
545,41,23,0
546,41,23,0
547,31,33,1
548,23,41,1
549,27,37,1
550,39,25,0
551,29,35,1
552,32,32,0
553,26,38,1
554,26,38,1
555,20,44,1
556,47,17,0
557,29,35,1
558,25,39,1
559,34,30,0
560,30,34,1
561,40,24,0
562,21,43,1
563,37,27,0
564,49,15,0
565,27,37,1
566,38,26,0
567,32,32,0
568,41,23,0
569,45,19,0
570,37,27,0
571,11,53,1
572,32,32,0
573,39,25,0
574,43,21,0
575,24,40,1
576,25,39,1
577,36,28,0
578,20,44,1
579,40,24,0
580,16,47,1
581,31,33,1
582,56,8,0
583,38,26,0
584,44,20,0
585,29,35,1
586,25,39,1
587,20,44,1
588,26,38,1
589,29,34,1
590,0,22,1
591,21,43,1
592,1,33,1
593,41,23,0
594,11,53,1
595,26,38,1
596,29,35,1
597,29,35,1
598,46,18,0
599,43,21,0
600,20,44,1
601,25,39,1
602,30,34,1
603,49,15,0
604,37,27,0
605,33,31,0
606,30,34,1
607,18,46,1
608,0,16,1
609,36,28,0
610,20,44,1
611,51,13,0
612,26,38,1
613,33,31,0
614,11,53,1
615,31,33,1
616,18,46,1
617,16,48,1
618,24,40,1
619,4,59,1
620,16,48,1
621,16,48,1
622,26,38,1
623,15,49,1
624,28,36,1
625,42,22,0
626,50,14,0
627,48,16,0
628,25,39,1
629,44,20,0
630,34,30,0
631,34,30,0
632,28,36,1
633,38,25,0
634,40,24,0
635,22,42,1
636,15,49,1
637,20,44,1
638,27,37,1
639,19,45,1
640,1,48,1
641,29,35,1
642,31,33,1
643,42,22,0
644,0,20,1
645,39,25,0
646,16,48,1
647,14,50,1
648,14,50,1
649,16,48,1
650,30,34,1
651,30,34,1
652,19,45,1
653,26,38,1
654,25,38,1
655,35,29,0
656,40,24,0
657,27,37,1
658,41,23,0
659,23,41,1
660,37,27,0
661,32,32,0
662,28,36,1
663,19,45,1
664,20,44,1
665,27,37,1
666,35,29,0
667,30,34,1
668,20,44,1
669,10,54,1
670,38,26,0
671,48,16,0
672,41,23,0
673,20,44,1
674,2,51,1
675,30,34,1
676,32,32,0
677,8,56,1
678,26,38,1
679,33,31,0
680,27,37,1
681,34,30,0
682,22,42,1
683,22,42,1
684,33,31,0
685,40,24,0
686,39,24,0
687,25,39,1
688,44,20,0
689,34,30,0
690,14,50,1
691,35,29,0
692,16,48,1
693,30,34,1
694,19,45,1
695,43,21,0
696,13,51,1
697,27,37,1
698,37,27,0
699,41,23,0
700,21,43,1
701,38,26,0
702,0,47,1
703,34,30,0
704,48,16,0
705,18,46,1
706,26,38,1
707,13,51,1
708,15,49,1
709,14,50,1
710,23,41,1
711,20,44,1
712,46,18,0
713,36,28,0
714,35,29,0
715,40,24,0
716,21,43,1
717,34,30,0
718,24,40,1
719,27,37,1
720,29,35,1
721,45,19,0
722,43,21,0
723,27,37,1
724,24,40,1
725,22,42,1
726,19,45,1
727,39,25,0
728,35,29,0
729,32,32,0
730,41,23,0
731,35,29,0
732,22,42,1
733,28,36,1
734,18,45,1
735,33,31,0
736,38,26,0
737,34,30,0
738,39,25,0
739,36,28,0
740,41,23,0
741,43,21,0
742,28,36,1
743,44,20,0
744,39,25,0
745,35,29,0
746,23,41,1
747,0,30,1
748,33,31,0
749,13,51,1
750,14,50,1
751,17,47,1
752,20,44,1
753,15,49,1
754,35,29,0
755,25,39,1
756,13,51,1
757,30,34,1
758,33,31,0
759,28,36,1
760,32,32,0
761,33,31,0
762,42,22,0
763,27,37,1
764,41,23,0
765,16,48,1
766,29,35,1
767,27,37,1
768,33,31,0
769,51,13,0
770,47,17,0
771,33,31,0
772,24,40,1
773,46,18,0
774,39,25,0
775,36,28,0
776,41,23,0
777,37,27,0
778,13,51,1
779,29,35,1
780,23,41,1
781,30,34,1
782,42,22,0
783,28,36,1
784,30,34,1
785,15,49,1
786,17,47,1
787,33,31,0
788,41,23,0
789,50,14,0
790,39,25,0
791,40,24,0
792,33,31,0
793,35,29,0
794,33,31,0
795,27,37,1
796,32,32,0
797,34,30,0
798,36,28,0
799,28,36,1
800,28,36,1
801,39,25,0
802,29,35,1
803,20,44,1
804,35,29,0
805,37,27,0
806,27,37,1
807,52,12,0
808,29,35,1
809,34,30,0
810,44,20,0
811,37,27,0
