Game Number,Player 1 Score,Player 2 Score,Player 2 Win
755,32,32,0
756,24,40,1
757,19,45,1
758,44,20,0
759,17,47,1
760,31,33,1
761,24,40,1
762,41,23,0
763,32,32,0
764,18,46,1
765,26,38,1
766,47,16,0
767,24,40,1
768,43,21,0
769,29,35,1
770,41,23,0
771,34,30,0
772,23,41,1
773,21,43,1
774,37,27,0
775,22,42,1
776,29,35,1
777,20,44,1
778,40,24,0
779,17,47,1
780,29,35,1
781,39,25,0
782,27,37,1
783,21,43,1
784,44,20,0
785,37,27,0
786,34,30,0
787,55,9,0
788,35,29,0
789,37,27,0
790,43,21,0
791,32,32,0
792,30,34,1
793,27,37,1
794,25,39,1
795,37,27,0
796,21,43,1
797,23,41,1
798,25,39,1
799,49,15,0
800,31,33,1
801,22,42,1
802,35,29,0
803,27,37,1
804,50,14,0
805,37,27,0
806,31,33,1
807,32,32,0
808,24,40,1
809,29,35,1
810,33,30,0
811,27,37,1
812,31,33,1
813,22,42,1
814,27,37,1
815,16,48,1
816,29,35,1
817,27,37,1
818,49,15,0
819,39,25,0
820,26,38,1
821,36,28,0
822,28,36,1
823,28,36,1
824,28,36,1
825,37,27,0
826,36,28,0
827,33,31,0
828,25,39,1
829,33,31,0
830,23,41,1
831,25,39,1
832,22,42,1
833,28,36,1
834,28,36,1
835,33,31,0
836,42,22,0
837,22,42,1
838,42,22,0
839,23,41,1
840,45,19,0
841,24,40,1
842,25,39,1
843,41,23,0
844,25,39,1
845,32,32,0
846,25,39,1
847,22,42,1
848,45,19,0
849,32,32,0
850,51,13,0
851,34,30,0
852,53,11,0
853,24,40,1
854,42,22,0
855,55,9,0
856,30,34,1
857,29,35,1
858,37,27,0
859,31,33,1
860,27,37,1
861,44,20,0
862,24,40,1
863,32,32,0
864,32,32,0
865,23,41,1
866,18,46,1
867,21,43,1
868,34,30,0
869,25,39,1
870,35,29,0
871,34,30,0
872,22,42,1
873,44,20,0
874,20,44,1
875,34,30,0
876,25,39,1
877,39,25,0
878,43,21,0
879,46,18,0
880,37,27,0
881,36,28,0
882,33,31,0
883,26,38,1
884,25,39,1
885,32,32,0
886,22,42,1
887,36,28,0
888,41,23,0
889,33,31,0
890,28,36,1
891,15,49,1
892,36,28,0
893,31,33,1
894,34,30,0
895,30,34,1
896,33,31,0
897,36,28,0
898,29,35,1
899,26,38,1
900,41,23,0
901,47,17,0
902,19,45,1
903,19,45,1
904,8,56,1
905,32,32,0
906,33,31,0
907,24,40,1
908,18,46,1
909,25,39,1
910,35,29,0
911,32,32,0
912,45,19,0
913,23,41,1
914,30,34,1
915,28,36,1
916,34,30,0
917,30,34,1
918,42,22,0
919,44,20,0
920,31,33,1
921,35,29,0
922,24,40,1
923,41,23,0
924,45,19,0
925,42,22,0
926,27,37,1
927,33,31,0
928,56,8,0
929,25,39,1
930,19,45,1
931,44,20,0
932,36,28,0
933,28,36,1
934,40,24,0
935,30,34,1
936,19,45,1
937,35,29,0
938,39,25,0
939,27,37,1
940,34,30,0
941,26,38,1
942,23,41,1
943,41,23,0
944,26,38,1
945,34,30,0
946,21,43,1
947,38,25,0
948,17,47,1
949,39,25,0
950,39,25,0
951,24,40,1
952,17,47,1
953,27,37,1
954,46,18,0
955,35,29,0
956,32,32,0
957,29,35,1
958,36,28,0
959,39,25,0
960,10,54,1
961,26,38,1
962,42,22,0
963,33,31,0
964,43,21,0
965,21,43,1
966,26,38,1
967,20,44,1
968,18,46,1
969,16,48,1
970,36,28,0
971,40,24,0
972,48,16,0
973,43,21,0
974,38,26,0
975,27,37,1
976,40,24,0
977,25,39,1
978,29,35,1
979,58,6,0
980,30,34,1
981,29,35,1
982,28,36,1
983,31,33,1
984,30,34,1
985,41,23,0
986,21,43,1
987,33,31,0
988,31,33,1
989,26,38,1
990,46,18,0
991,18,46,1
992,38,26,0
993,31,33,1
994,39,25,0
995,23,41,1
996,37,27,0
997,30,34,1
998,32,32,0
999,47,17,0
1000,42,22,0
